run_id,avg_words_per_sentence,bullet_points_per_utterance,headings_per_utterance,sentence_complexity,lexical_diversity,formality_score,punctuation_density,output_structure_consistency,is_gemini,is_claude,is_gpt,is_llama,is_qwen,is_deepseek,is_mistral
5354,17.80851063829787,0.0,0.0,9.45339680406213,0.42128279883381925,-0.023894862604540025,0.03254678600488202,0.0,0,0,0,1,0,0,0
5355,14.166666666666666,0.0,0.0,7.56758875739645,0.5334538878842676,-0.0029411764705882353,0.029551715502128727,0.4,0,0,1,0,0,0,0
5356,20.43243243243243,0.0,0.0,9.730735449735448,0.3746130030959752,-0.007936507936507936,0.028908418131359852,0.0,0,0,0,1,0,0,0
5357,13.121212121212121,0.0,0.0,8.779997962233391,0.5196629213483146,0.0023094688221709007,0.02856054836252856,0.0,0,0,1,0,0,0,0
5358,21.09375,0.8,0.0,10.314191039493291,0.40827338129496404,-0.007407407407407408,0.03295840962594821,0.2,0,0,0,1,0,0,0
5359,17.416666666666668,0.0,0.0,8.87427033492823,0.46218487394957986,0.028708133971291867,0.022832980972515855,0.0,0,0,1,0,0,0,0
5360,19.390243902439025,4.2,1.0,11.428775434645111,0.3546325878594249,0.0037735849056603774,0.04957264957264957,0.6,0,0,0,1,0,0,0
5361,19.706666666666667,4.6,1.4,10.178204900217349,0.3808724832214765,0.015561569688768605,0.04578993055555555,0.6,0,0,1,0,0,0,0
5362,20.642857142857142,0.0,0.0,13.880368264953042,0.32569558101472995,-0.008996539792387544,0.024919441460794844,0.0,0,0,0,1,0,0,0
5363,19.692307692307693,0.0,0.0,13.812855113636363,0.35193519351935193,0.0046875,0.019762845849802372,0.0,0,0,1,0,0,0,0
5364,17.155172413793103,0.0,0.0,10.880275748420765,0.37667071688942894,0.004020100502512563,0.030728564348257062,0.0,0,0,0,1,0,0,0
5365,16.876712328767123,0.0,1.0,12.646307049714753,0.3774703557312253,0.032467532467532464,0.03636142527058251,0.4,0,0,1,0,0,0,0
5366,20.28205128205128,0.0,0.0,14.405840707964604,0.3118518518518518,-0.008849557522123894,0.023181304183942708,0.0,0,0,0,1,0,0,0
5367,19.37272727272727,2.0,1.2,14.916625295508275,0.3033448673587082,0.008916001877053027,0.038458952464196866,0.6,0,0,1,0,0,0,0
5368,15.432835820895523,0.0,0.0,6.664192962899445,0.3764988009592326,-0.026188166828322017,0.043384725708139116,0.2,0,0,0,1,0,0,0
5369,13.385714285714286,0.0,0.0,6.364574048389581,0.4507978723404255,-0.00644468313641246,0.03698860452082944,0.6,0,0,1,0,0,0,0
5370,19.6984126984127,0.0,0.0,12.492540322580648,0.3435114503816794,-0.015310233682514102,0.02598752598752599,0.0,0,0,0,1,0,0,0
5371,18.18918918918919,0.0,0.0,13.97705918771669,0.37521514629948366,0.007429420505200594,0.02307953388392352,0.0,0,0,1,0,0,0,0
5372,19.0,0.0,0.0,10.355334774343081,0.3926470588235294,-0.01591187270501836,0.032244980734131005,0.0,0,0,0,1,0,0,0
5373,12.137931034482758,0.0,0.0,8.281568914956015,0.5214285714285715,0.002840909090909091,0.03385178408051235,0.0,0,0,1,0,0,0,0
5374,20.9,0.0,0.0,13.439657750934717,0.32196969696969696,-0.0215311004784689,0.02528125395019593,0.0,0,0,0,1,0,0,0
5375,18.32894736842105,0.0,0.6,14.63082134292566,0.35269000853970967,0.005025125628140704,0.027368197729924684,0.2,0,0,1,0,0,0,0
5376,19.3125,0.0,0.0,9.069947043248018,0.39728682170542634,-0.0048543689320388345,0.03080499854693403,0.0,0,0,0,1,0,0,0
5377,17.4,0.0,0.0,9.40932471264368,0.4297752808988764,0.02528735632183908,0.025910931174089068,0.0,0,0,1,0,0,0,0
5378,16.458333333333332,0.0,0.0,9.637501937483854,0.4265842349304482,-0.03417721518987342,0.030837004405286344,0.0,0,0,0,1,0,0,0
5379,13.38888888888889,0.0,0.0,10.049094052558786,0.5061728395061729,-0.006224066390041493,0.024666666666666667,0.0,0,0,1,0,0,0,0
5380,20.253968253968253,0.0,0.0,14.242304582210245,0.33986928104575165,-0.01647058823529412,0.025863105978587753,0.0,0,0,0,1,0,0,0
5381,19.388059701492537,0.0,0.0,14.899133891742213,0.36875,0.0023094688221709007,0.02041973908111174,0.0,0,0,1,0,0,0,0
5382,21.864864864864863,0.0,0.0,13.337369396916273,0.37351190476190477,-0.014833127317676144,0.028582850289826104,0.0,0,0,0,1,0,0,0
5383,16.333333333333332,0.0,0.0,10.918265306122453,0.44224924012158057,0.006377551020408163,0.025981996726677576,0.0,0,0,1,0,0,0,0
5384,18.063492063492063,2.4,0.0,14.154572266984982,0.34726688102893893,-0.0070859167404783,0.03226688542521192,0.6,0,0,0,1,0,0,0
5385,15.402061855670103,0.0,0.6,12.550014870738966,0.3416599516518936,0.031522468142186455,0.030719482619240096,0.2,0,0,1,0,0,0,0
5386,18.071428571428573,0.0,0.0,9.318545952066433,0.41961414790996787,-0.018494055482166448,0.03900626886463896,0.4,0,0,0,1,0,0,0
5387,12.935483870967742,0.0,0.0,8.226810344827587,0.5121951219512195,0.0075,0.033514872224549644,0.2,0,0,1,0,0,0,0
5388,21.67241379310345,0.0,0.0,13.393794820717137,0.3435185185185185,-0.02386634844868735,0.02380043273514064,0.0,0,0,0,1,0,0,0
5389,18.135593220338983,0.0,0.0,13.067701203186996,0.38579234972677595,0.009354536950420954,0.024316978972965243,0.0,0,0,1,0,0,0,0
5390,20.392156862745097,0.0,0.0,12.150674290890564,0.36384976525821594,-0.03461538461538462,0.030430057444496197,0.0,0,0,0,1,0,0,0
5391,18.509090909090908,0.6,0.0,14.114464845499331,0.4392857142857143,0.0029469548133595285,0.031067407724098616,0.4,0,0,1,0,0,0,0
5392,13.7,0.0,0.0,9.284575489819442,0.5520361990950227,-0.040145985401459854,0.036019536019536016,0.0,0,0,0,1,0,0,0
5393,12.7,0.0,0.0,10.284449271427281,0.5884244372990354,-0.015748031496062992,0.032806804374240585,0.0,0,0,1,0,0,0,0
5394,17.36842105263158,0.0,0.0,9.56818181818182,0.41697416974169743,-0.022727272727272728,0.034358047016274866,0.0,0,0,0,1,0,0,0
5395,13.902439024390244,0.0,0.0,10.92703893881044,0.46320346320346323,0.028070175438596492,0.03512506652474721,0.0,0,0,1,0,0,0,0
5396,18.79032258064516,0.0,0.0,13.501626783632226,0.3869346733668342,-0.02317596566523605,0.023097112860892388,0.0,0,0,0,1,0,0,0
5397,16.64179104477612,0.0,0.0,14.129241938928036,0.38380651945320715,0.0053811659192825115,0.021682679823422486,0.0,0,0,1,0,0,0,0
5398,19.696969696969695,0.0,0.0,9.859896103896105,0.41088180112570355,0.004615384615384616,0.033288948069241014,0.0,0,0,0,1,0,0,0
5399,16.76923076923077,0.0,0.0,8.911600000000004,0.46216216216216216,0.02981651376146789,0.02444987775061125,0.0,0,0,1,0,0,0,0
5400,14.512820512820513,0.0,0.0,7.87486725663717,0.3258426966292135,-0.05830388692579505,0.03808314820691844,0.0,0,0,0,1,0,0,0
5401,8.208333333333334,0.0,0.0,5.240790112557935,0.4900662251655629,-0.030456852791878174,0.030548068283917342,0.0,0,0,1,0,0,0,0
5402,19.372549019607842,0.0,0.0,12.639180757323174,0.39003645200486026,-0.032388663967611336,0.026478515934675758,0.0,0,0,0,1,0,0,0
5403,15.363636363636363,0.0,0.0,13.478149542764932,0.49640287769784175,0.0014792899408284023,0.021335609131640707,0.0,0,0,1,0,0,0,0
